album_id,album_name,artist_id,artist_name,singer_name,song_id,song_name
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944830,突然独身 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944823,Light Up Your Dreams (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944815,无奈 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944814,双子 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944817,回到花开的那天 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944813,维多利亚 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944809,冷热之间 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944807,游子意 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944808,Speech: 电影主题曲 
2748,游乐园 香港演唱会,631,林一峰,林一峰,21785,The Best Is Yet To Come (全场和唱)
2748,游乐园 香港演唱会,631,林一峰,林一峰,21784,A Case Of You
2748,游乐园 香港演唱会,631,林一峰,林一峰,21782,遇见
2748,游乐园 香港演唱会,631,林一峰,关心妍,21779,今天应该更高兴
2748,游乐园 香港演唱会,631,林一峰,林一峰,21781,说说自己的故事
2744,这一路走来,631,林一峰,林一峰,379311,离开古城
32292,Travelogue1 游乐,631,林一峰,林一峰,379283,离开古城 
2748,游乐园 香港演唱会,631,林一峰,林一峰,21771,离开古城
2748,游乐园 香港演唱会,631,林一峰,林一峰,21770,冷热之间
2748,游乐园 香港演唱会,631,林一峰,林一峰,21766,没有夏娃的伊甸园
501787,家课,631,林一峰,林一峰,1770885202,向着阳光
501787,家课,631,林一峰,林一峰,1770885191,红河村
311848,EAST ASIA,7118,中島みゆき,中島みゆき,3454914,此処じゃない何処かへ  
2102764053,慕情,7118,中島みゆき,中島みゆき,1795970935,人生の素人 (しろうと)
2102764053,慕情,7118,中島みゆき,中島みゆき,1795970934,慕情
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944824,今天应该更高兴 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944812,给最开心的人 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944804,重回布拉格 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944802,向着阳光 / CL411 (Live) 
2748,游乐园 香港演唱会,631,林一峰,林一峰,21772,重回布拉格
376634,Back to the Stars,631,林一峰,林一峰,1769464918,Falling Stars
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944832,19 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944827,雪糕车 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944822,爱你枕边暖 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944828,离开是为了回来 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944800,黄沙万里 (Live) 
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944798,镜子说 (Live) 
2102734993,绝对清白,631,林一峰,林一峰,1795800723,青春残酷蜜语
2102734993,绝对清白,631,林一峰,林一峰,1795800720,大城小子
2102734993,绝对清白,631,林一峰,林一峰,1795800721,能伤心是种奢侈
2102734993,绝对清白,631,林一峰,林一峰,1795800719,星光大道
2748,游乐园 香港演唱会,631,林一峰,林一峰,21768,新浪漫(方树梁合奏)
2741,思 生活,631,林一峰,林一峰,379294,与你共枕
501787,家课,631,林一峰,林一峰,1770885179,离开是为了回来
5834,常在心头,1166,张国荣,张国荣,71481,片段
,,,,Lady Gaga,3074953,Poker Face
5811,热·情演唱会,1166,张国荣,张国荣,71112,春夏秋冬 (Live) 
,,,,张学友,74747,Medley: 情已逝 / 蓝雨 / 爱得比你深 / 头发乱了 (Live)
171586,Shorelines: Classical Guitar,24074,Dan Gibson,Dan Gibson,2119270,Romanza d'Amour  
,,,,David Bowie; Kristen Wiig,1772395656,Space Oddity (Mitty Mix) 
2742,Camping In Hong Kong Live,631,林一峰,林一峰,21663,As Far As Love Goes
2742,Camping In Hong Kong Live,631,林一峰,林一峰,21662,I Don't Want To Say Goodbye
,,,,林子祥; 叶倩文,1769852172,零时十分
5864,全赖有你 夏日精选,1166,张国荣,张国荣,71887,恋爱交叉
,,,,Don McLean,3368874,The Grave
,,,,Don McLean,3368872,"Everybody Loves Me, Baby"
,,,,Don McLean,3368871,Empty Chairs
,,,,Don McLean,3368868,Vincent (Starry Starry Night)
,,,,Don McLean,3368869,Crossroads
,,,,张国荣,71697,Medley (Live)
357481,Torenvart,67825,Dunkelschön,Dunkelschön,1769240888,Meine Ruh Ist Hin
,,,,Don McLean,3368866,American Pie
331699,Legendary Don McLean,55625,Don McLean,Don McLean,1768924492,Vincent
168155,麦兜菠萝油王子 电影原声大碟,102739,何崇志,林一峰; 香港童声合唱天地,2074837,"悠悠的风(Bratms,Waltz In A Flat,Op. 39 No)"
10107,903拉阔音乐会2002,1841,梁咏琪,梁咏琪; 林一峰,124771,The Best Is Yet To Come
1771177845,Dream On Live 2013 林一峰游乐会,631,林一峰,林一峰,1771944834,The Best Is Yet to Come (Live) 
170247,为你含情,2901,my little airport,林一峰,2102379,在动物园散步才是正经事
,,,,中島みゆき,1776331250,命の別名 (Live)
12508,新曲与精选,2322,徐小凤,徐小凤,153795,漫漫前路
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444354,风的季节 (第一届新秀歌唱大赛练习编)
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444293,风的季节 (第一届新秀歌唱大赛练习编短版)
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444312,烈焰红唇
,,,,梅艳芳,1772444331,似是故人来
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444324,夕阳之歌
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444315,胭脂扣
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444301,似水流年
288375702,追忆似水芳华,2000,梅艳芳,梅艳芳,1772444299,IQ博士
1265492657,Gift,1166,张国荣,张国荣,1771797339,これから
5804,挚爱1995-2003,1166,张国荣,张国荣,70955,Boulevard Of Broken Dreams
,,,,张国荣,71643,从不知
,,,,张国荣,71646,这是爱
,,,,张国荣,71641,纸船
,,,,张国荣,71645,漫天风雨
10953,似水流年,2000,梅艳芳,梅艳芳,135307,似水流年
,,,,梅艳芳,135114,似是故人来
10937,皇者之风,2000,梅艳芳,梅艳芳,135127,夕阳之歌
5793,History. His Story,1166,张国荣,张国荣,70709,难以再说对不起
5793,History. His Story,1166,张国荣,张国荣,70717,我的未来大计
5793,History. His Story,1166,张国荣,张国荣,70714,我在娱乐圈的日子
5793,History. His Story,1166,张国荣,张国荣,70716,对我最好的女人
5793,History. His Story,1166,张国荣,张国荣,70715,华星与我
5822,这些年来,1166,张国荣,张国荣,71308,以后
5821,Printemps,1166,张国荣,张国荣,377393,作伴
,,,,张国荣,71810,再恋
5858,Summer Romance'87,1166,张国荣,张国荣,71827,情难自控
5799,一切随风,1166,张国荣,张国荣,377407,I Honestly Love You
5799,一切随风,1166,张国荣,张国荣,377401,随心
5804,挚爱1995-2003,1166,张国荣,张国荣; 辛晓琪,70944,深情相拥
,,,,张国荣,71663,绝不可以
,,,,张国荣,71665,禁片
376634,Back to the Stars,631,林一峰,林一峰,1769464917,Thanks for Setting Me Free
,,,,张国荣,388692,需要你
329657,Neo Acoustic Movement Vol.1,7169,华语群星,林一峰; 蓝奕邦,3675544,两个陌生男子
170676,陈洁丽香港演唱会,1388,陈洁丽,陈洁丽,2107819,唯独你是不可取替
